eid,state,job,ara,probsick
101736,"TX","engineer",.0054,.063
101749,"MA","sales",.0032,.199
101751,"TX","engineer",.0052,.065
101754,"MA","sales",.0051,.226
101773,"MA","sales",.0071,.182
101776,"TX","engineer",.0106,.034
101786,"TX","sales",.0176,.013
101802,"TX","sales",.0037,.077
101803,"MA","sales",.003,.26
101809,"TX","sales",.0047,.068
101814,"TX","engineer",.0043,.072
101833,"TX","engineer",.0056,.062
101856,"MA","sales",.004,.089
101865,"MA","sales",.0069,.102
101879,"MA","sales",.0036,.038
101900,"TX","engineer",.0029,.083
101908,"MA","sales",.0008,.029
101918,"MA","engineer",.0038,.234
101922,"TX","engineer",.0017,.095
101926,"MA","engineer",.0065,.024
101943,"MA","sales",.0053,.168
101957,"TX","engineer",.0082,.046
101959,"MA","sales",.006,.159
101981,"MA","sales",.0056,.183
101995,"TX","engineer",.0049,.068
102019,"TX","engineer",.0075,.05
102048,"TX","engineer",.0013,.099
102052,"MA","sales",.0078,.202
102058,"TX","engineer",.0055,.063
102068,"MA","engineer",.0076,.316
102075,"MA","sales",.0051,.136
102077,"TX","engineer",.0081,.047
102106,"MA","engineer",.0036,.152
102124,"TX","engineer",.0042,.072
102147,"MA","engineer",.0084,.309
102168,"MA","engineer",.0044,.204
102171,"MA","sales",.0056,.122
102181,"TX","engineer",.0016,.096
102198,"MA","sales",.0036,.089
102205,"MA","sales",.0058,.178
102209,"TX","engineer",.0036,.078
102231,"MA","sales",.0069,.079
102247,"MA","engineer",.0051,.022
102253,"MA","engineer",.0066,.041
102257,"MA","sales",.0061,.117
102277,"MA","engineer",.003,.078
102302,"TX","engineer",.003,.082
102303,"TX","engineer",.004,.074
102307,"TX","engineer",.0121,.028
102323,"MA","sales",.0046,.015
102348,"MA","sales",.0013,.075
102356,"MA","engineer",.0073,.129
102375,"MA","engineer",.0052,.147
102386,"TX","engineer",.0125,.027
102391,"TX","engineer",.0071,.052
102392,"MA","engineer",.0045,.145
102421,"MA","sales",.0039,.128
102445,"MA","sales",.0014,.091
102468,"MA","engineer",.0036,.109
102471,"MA","engineer",.0017,.085
102475,"TX","engineer",.0103,.035
102481,"MA","engineer",.0067,.2
102489,"MA","sales",.0049,.155
102491,"TX","engineer",.0034,.079
102513,"MA","sales",.0056,.147
102517,"MA","sales",.0073,.277
102522,"MA","sales",.0008,.03
102548,"MA","sales",.0028,.234
102572,"MA","sales",.0062,.091
102575,"MA","sales",.0044,.074
102580,"TX","engineer",.0092,.041
102585,"TX","sales",.0093,.04
102589,"TX","engineer",.0051,.066
102617,"MA","sales",.0063,.08
102635,"MA","engineer",.0086,.314
102637,"MA","engineer",.0033,.085
102641,"MA","engineer",.0026,.145
102646,"TX","engineer",.0011,.1
102651,"MA","sales",.0035,.076
102654,"MA","engineer",.0053,.212
102664,"TX","engineer",.0058,.061
102670,"MA","engineer",.0058,.291
102673,"MA","sales",.0064,.056
102680,"TX","engineer",.0127,.026
102697,"TX","engineer",.0134,.024
102708,"TX","sales",.0155,.018
102721,"MA","engineer",.0013,.043
102731,"TX","engineer",.0032,.081
102736,"TX","engineer",.0154,.018
102744,"MA","engineer",.0056,.174
102756,"MA","sales",.0092,.261
102765,"MA","sales",.006,.088
102772,"TX","engineer",.018,.012
102808,"TX","engineer",.0096,.039
102829,"TX","engineer",.011,.033
102833,"TX","engineer",.0005,.108
102837,"TX","engineer",.005,.066
102838,"TX","engineer",.0019,.093
102839,"TX","engineer",.0034,.079
102876,"TX","engineer",.0105,.035
102880,"TX","engineer",.0156,.017
102881,"TX","engineer",.0089,.042
102888,"TX","engineer",.0076,.049
102906,"TX","engineer",.0011,.101
102908,"TX","engineer",.0034,.079
102917,"TX","engineer",.0075,.05
102921,"MA","engineer",.0037,.113
102924,"TX","engineer",.0043,.072
102937,"TX","sales",.0067,.055
102947,"MA","sales",.0022,.1
103023,"TX","sales",.0009,.103
103025,"TX","engineer",.0144,.021
103047,"MA","sales",.002,.12
103056,"MA","engineer",.0073,.124
103064,"MA","engineer",.0093,.298
103068,"TX","sales",.003,.082
103069,"TX","engineer",.0074,.05
103087,"MA","engineer",.0061,.274
103102,"TX","engineer",.0119,.029
103105,"MA","sales",.0029,.119
103115,"MA","engineer",.0049,.149
103120,"TX","sales",.0002,.11
103125,"MA","engineer",.0027,.179
103126,"MA","engineer",.0032,.054
103147,"TX","sales",.006,.06
103165,"TX","engineer",.004,.074
103172,"TX","sales",.0113,.031
103175,"MA","sales",.0021,.021
103193,"TX","engineer",.0178,.012
103196,"TX","sales",.0125,.027
103198,"MA","engineer",.0018,.16
103218,"MA","sales",.0043,.062
103231,"TX","engineer",.0112,.032
103233,"TX","engineer",.0143,.021
103265,"TX","sales",.0062,.058
103270,"MA","sales",.0012,.053
103291,"TX","sales",.0067,.055
103315,"TX","engineer",.0092,.041
103328,"MA","sales",.0074,.15
103332,"MA","sales",.0063,.076
103344,"TX","engineer",.003,.083
103347,"TX","engineer",.0111,.032
103373,"TX","engineer",.0063,.058
103375,"TX","engineer",.0096,.039
103376,"MA","sales",.004,.127
103377,"TX","engineer",.0015,.097
103380,"MA","engineer",.0048,.028
103386,"MA","sales",.0071,.179
103393,"TX","engineer",.0096,.039
103411,"TX","engineer",.0129,.025
103429,"MA","engineer",.0069,.025
103430,"TX","engineer",.0068,.054
103461,"MA","engineer",.0012,.06
103472,"MA","sales",.0081,.248
103490,"MA","sales",.0061,.054
103495,"TX","engineer",.0089,.042
103501,"MA","sales",.0064,.128
103514,"MA","engineer",.001,.087
103515,"MA","engineer",.0066,.138
103521,"MA","sales",.0011,.093
103532,"MA","sales",.0039,.039
103534,"TX","engineer",.0077,.049
103544,"MA","sales",.0088,.302
103556,"MA","sales",.0058,.153
103562,"TX","engineer",.0062,.058
103565,"MA","sales",.0062,.023
103568,"MA","sales",.0016,.063
103577,"MA","engineer",.0059,.296
103619,"TX","engineer",.0057,.061
103630,"MA","sales",.003,.021
103644,"TX","engineer",.0156,.017
103649,"TX","sales",.0028,.084
103713,"MA","engineer",.0067,.034
103715,"MA","sales",.0011,.079
103744,"TX","sales",.0041,.073
103793,"MA","engineer",.0051,.208
103803,"MA","engineer",.0042,.237
103811,"MA","engineer",.0035,.176
103823,"TX","engineer",.0006,.106
103835,"MA","sales",.0062,.234
103838,"TX","sales",.005,.067
103839,"TX","engineer",.0063,.057
103850,"TX","sales",.0022,.09
103875,"MA","sales",.0083,.331
103876,"TX","engineer",.0088,.043
103886,"MA","engineer",.0039,.257
103910,"MA","engineer",.0023,.104
103915,"MA","sales",.0035,.05
103919,"TX","engineer",.0131,.024
103933,"MA","sales",.0063,.013
103935,"MA","sales",.0056,.207
103955,"MA","engineer",.0012,.081
103967,"MA","engineer",.0021,.168
103970,"MA","sales",.0062,.095
103987,"TX","engineer",.0068,.054
103992,"MA","sales",.008,.337
103995,"MA","engineer",.0065,.034
104017,"MA","sales",.0016,.089
104033,"TX","engineer",.006,.06
104038,"TX","engineer",.0042,.072
104065,"TX","engineer",.0022,.09
104069,"MA","engineer",.0054,.245
104090,"TX","sales",.0086,.044
104091,"TX","engineer",.0028,.084
104096,"TX","engineer",.018,.012
104154,"MA","sales",.0077,.145
104163,"TX","engineer",.0006,.106
104165,"TX","engineer",.01,.037
104171,"TX","engineer",.0098,.038
104184,"MA","engineer",.006,.076
104194,"MA","engineer",.0027,.082
104205,"MA","sales",.0022,.205
104218,"TX","engineer",.0103,.036
104225,"TX","engineer",.0093,.04
104237,"MA","engineer",.001,.055
104246,"MA","sales",.0045,.177
104250,"MA","sales",.0061,.116
104266,"MA","engineer",.0034,.078
104272,"MA","sales",.0056,.041
104275,"MA","sales",.0018,.181
104287,"TX","sales",.0064,.057
104290,"TX","engineer",.0055,.063
104311,"MA","sales",.0068,.014
104325,"MA","engineer",.0062,.179
104328,"MA","engineer",.0049,.134
104329,"TX","engineer",.0005,.107
104339,"MA","engineer",.0018,.112
104340,"MA","engineer",.0059,.161
104345,"MA","sales",.0034,.142
104350,"TX","engineer",.0116,.03
104416,"TX","engineer",.0177,.013
104431,"TX","engineer",.0111,.032
104443,"MA","sales",.0015,.012
104447,"TX","sales",.0074,.051
104458,"TX","engineer",.0072,.052
104460,"TX","sales",.0119,.029
104476,"MA","sales",.0007,.069
104486,"MA","engineer",.008,.22
104488,"MA","sales",.0026,.131
104489,"MA","engineer",.0012,.09
104497,"MA","engineer",.0043,.168
104506,"MA","sales",.0024,.089
104512,"MA","engineer",.0012,.061
104553,"TX","engineer",.0004,.108
104578,"TX","engineer",.0011,.101
104600,"MA","engineer",.0047,.234
104619,"TX","sales",.0029,.083
104624,"MA","sales",.0038,.048
104625,"MA","engineer",.003,.02
104628,"MA","sales",.0071,.158
104651,"MA","sales",.003,.123
104677,"MA","sales",.0041,.087
104678,"MA","engineer",.0035,.265
104685,"MA","sales",.0058,.285
104692,"TX","engineer",.0069,.053
104694,"MA","sales",.007,.056
104726,"MA","sales",.0019,.168
104746,"TX","engineer",.0166,.015
104747,"MA","sales",.0038,.014
104758,"TX","engineer",.001,.102
104772,"MA","sales",.0061,.261
104786,"TX","engineer",.0137,.023
104790,"TX","sales",.0054,.064
104805,"MA","engineer",.0012,.098
104807,"TX","sales",.0057,.062
104810,"TX","engineer",.0054,.064
104824,"TX","engineer",.0083,.045
104828,"MA","engineer",.0077,.182
104829,"TX","engineer",.0134,.024
104831,"TX","sales",.0154,.018
104833,"MA","sales",.0042,.012
104837,"TX","engineer",.0078,.048
104838,"TX","engineer",.0113,.031
104867,"MA","engineer",.0042,.047
104887,"TX","engineer",.0036,.077
104891,"MA","engineer",.0008,.031
104895,"TX","engineer",.0058,.061
104927,"MA","sales",.0021,.087
104932,"MA","engineer",.0049,.069
104938,"TX","engineer",.0067,.055
104945,"MA","sales",.003,.224
104952,"TX","sales",.0025,.087
104960,"MA","sales",.0052,.234
104962,"TX","engineer",.0002,.111
104967,"MA","engineer",.0059,.183
104970,"MA","sales",.0011,.038
104993,"MA","sales",.0047,.172
105006,"TX","engineer",.0056,.062
105012,"MA","engineer",.0066,.048
105039,"TX","sales",.0049,.067
105063,"TX","engineer",.0078,.048
105078,"MA","sales",.0056,.259
105079,"MA","engineer",.0067,.059
105083,"TX","engineer",.0039,.075
105115,"MA","engineer",.0057,.121
105120,"MA","sales",.0058,.013
105130,"MA","sales",.0013,.129
105132,"MA","sales",.0044,.015
105135,"MA","engineer",.0049,.215
105146,"TX","engineer",.0055,.062
105160,"MA","sales",.0042,.014
105166,"MA","sales",.003,.152
105175,"MA","sales",.0016,.085
105195,"MA","sales",.0023,.098
105201,"MA","engineer",.0021,.058
105227,"MA","sales",.0023,.017
105248,"MA","sales",.0058,.051
105254,"TX","engineer",.0075,.05
105262,"MA","engineer",.0043,.089
105269,"MA","sales",.0069,.023
105277,"TX","engineer",.0074,.05
105285,"MA","engineer",.004,.123
105293,"TX","engineer",.0086,.044
105299,"TX","engineer",.0011,.1
105319,"MA","sales",.0056,.031
105332,"MA","engineer",.0025,.091
105333,"MA","sales",.007,.231
105366,"MA","sales",.0027,.014
105367,"TX","engineer",.0144,.021
105385,"MA","sales",.0062,.032
105392,"MA","sales",.0055,.241
105407,"MA","engineer",.0069,.215
105421,"TX","engineer",.0115,.03
105426,"MA","sales",.0032,.033
105482,"TX","engineer",.0121,.028
105484,"TX","engineer",.0085,.044
105493,"TX","sales",.0074,.05
105496,"TX","sales",.0028,.084
105500,"MA","engineer",.0021,.036
105504,"TX","sales",.0005,.107
105505,"MA","sales",.0037,.13
105520,"MA","engineer",.0048,.32
105522,"MA","engineer",.0016,.026
105526,"MA","engineer",.0006,.068
105535,"TX","engineer",.0106,.034
105551,"MA","engineer",.0022,.024
105557,"MA","engineer",.0072,.174
105561,"MA","sales",.0064,.19
105563,"MA","sales",.0032,.046
105567,"TX","engineer",.0036,.078
105583,"MA","sales",.0067,.049
105627,"MA","engineer",.0016,.014
105639,"MA","engineer",.0032,.081
105640,"MA","engineer",.0053,.092
105650,"TX","engineer",.012,.028
105668,"MA","sales",.0045,.048
105676,"MA","engineer",.0074,.228
105680,"MA","sales",.0044,.062
105682,"MA","engineer",.0058,.053
105694,"MA","engineer",.0074,.208
105704,"MA","sales",.0049,.178
105708,"MA","sales",.007,.194
105718,"TX","engineer",.0087,.043
105732,"MA","sales",.0051,.095
105747,"MA","sales",.0056,.164
105752,"MA","engineer",.0071,.106
105758,"TX","sales",.004,.075
105770,"MA","sales",.0065,.075
105806,"MA","engineer",.0049,.041
105809,"MA","engineer",.0026,.188
105840,"MA","engineer",.0066,.214
105870,"MA","engineer",.008,.277
105873,"TX","engineer",.0181,.012
105877,"TX","engineer",.0088,.043
105888,"MA","engineer",.0047,.262
105889,"MA","sales",.003,.05
105932,"MA","engineer",.0052,.067
105948,"TX","engineer",.0034,.079
105979,"MA","sales",.0041,.02
105983,"MA","engineer",.0033,.076
105987,"MA","sales",.004,.053
105998,"MA","engineer",.0042,.048
106004,"TX","engineer",.005,.066
106011,"TX","engineer",.0189,.01
106025,"TX","sales",.0127,.026
106031,"MA","engineer",.0035,.084
106036,"MA","engineer",.0081,.181
106055,"TX","engineer",.0035,.078
106066,"TX","engineer",.0052,.065
106075,"MA","sales",.0063,.258
106095,"MA","engineer",.0021,.168
106106,"MA","sales",.0043,.133
106126,"TX","engineer",.0103,.035
106128,"MA","sales",.0066,.212
106147,"TX","engineer",.0163,.016
106148,"MA","sales",.0067,.079
106151,"MA","sales",.0028,.17
106164,"MA","sales",.0014,.111
106176,"MA","engineer",.0047,.314
106177,"TX","engineer",.009,.042
106213,"MA","engineer",.0021,.019
106222,"MA","engineer",.0078,.299
106226,"TX","sales",.0024,.088
106248,"MA","engineer",.0029,.06
106274,"MA","sales",.0064,.241
106280,"TX","engineer",.0039,.075
106293,"MA","sales",.0019,.167
106316,"MA","sales",.0067,.148
106329,"MA","sales",.0046,.209
106332,"MA","engineer",.0023,.039
106336,"MA","engineer",.0008,.108
106366,"MA","engineer",.0032,.125
106387,"MA","engineer",.0061,.197
106388,"MA","engineer",.0052,.254
106396,"MA","sales",.0032,.049
106397,"MA","engineer",.0063,.212
106399,"TX","engineer",.0152,.018
106407,"TX","engineer",.0037,.076
106409,"MA","sales",.0069,.191
106410,"MA","sales",.0023,.194
106413,"MA","sales",.0039,.188
106416,"TX","engineer",.0072,.052
106422,"MA","engineer",.0009,.093
106424,"MA","engineer",.0079,.251
106426,"MA","sales",.0067,.012
106427,"MA","sales",.0071,.182
106428,"MA","engineer",.0023,.12
106434,"MA","sales",.0035,.203
106436,"MA","sales",.002,.178
106438,"MA","engineer",.0059,.182
106456,"TX","engineer",.0034,.079
106459,"TX","engineer",.0049,.067
106461,"TX","engineer",.0009,.103
106466,"TX","engineer",.0107,.034
106467,"MA","sales",.0091,.276
106499,"MA","engineer",.0051,.158
106504,"MA","sales",.0066,.197
106532,"MA","engineer",.0052,.03
106537,"MA","engineer",.0055,.055
106538,"MA","sales",.0011,.051
106545,"MA","sales",.0034,.086
106562,"MA","engineer",.0014,.101
106572,"TX","engineer",.0088,.043
106587,"TX","engineer",.011,.032
106594,"MA","sales",.0007,.097
106599,"MA","engineer",.0068,.316
106601,"MA","engineer",.0065,.07
106617,"MA","sales",.0065,.078
106618,"TX","engineer",.0059,.06
106622,"MA","sales",.0023,.121
106654,"MA","sales",.0044,.045
106672,"TX","engineer",.0035,.079
106675,"MA","sales",.0053,.136
106689,"TX","engineer",.0152,.018
106692,"MA","sales",.0049,.334
106712,"TX","sales",.0093,.04
106734,"TX","engineer",.0132,.024
106742,"TX","sales",.0034,.079
106749,"MA","engineer",.0084,.215
106751,"MA","engineer",.0046,.329
106756,"MA","sales",.0067,.185
106769,"MA","sales",.0045,.105
106782,"TX","engineer",.0092,.041
106801,"MA","sales",.0027,.041
106832,"TX","engineer",.012,.028
106840,"TX","engineer",.0055,.063
106860,"TX","engineer",.016,.016
106865,"MA","engineer",.0055,.172
106893,"MA","engineer",.005,.052
106901,"TX","engineer",.004,.074
106914,"MA","sales",.0068,.124
106920,"TX","engineer",.0116,.03
106924,"TX","engineer",.0153,.018
106932,"TX","sales",.0144,.021
106946,"MA","sales",.0062,.258
106978,"MA","engineer",.0084,.289
106990,"MA","sales",.0016,.145
106993,"MA","engineer",.0032,.194
106996,"MA","engineer",.001,.105
107000,"MA","sales",.0038,.123
107008,"MA","engineer",.0058,.092
107014,"TX","engineer",.0087,.043
107026,"TX","engineer",.0068,.054
107028,"TX","engineer",.0049,.067
107035,"MA","sales",.0023,.028
107043,"MA","sales",.0018,.061
107047,"MA","engineer",.0058,.163
107048,"TX","engineer",.0001,.112
107050,"MA","engineer",.0051,.139
107063,"TX","engineer",.0073,.051
107123,"MA","sales",.0107,.337
107142,"TX","engineer",.0162,.016
107173,"TX","engineer",.0014,.098
107194,"MA","engineer",.0061,.24
107213,"MA","engineer",.0067,.013
107215,"MA","engineer",.0043,.22
107220,"TX","engineer",.005,.066
107226,"MA","sales",.002,.123
107227,"MA","engineer",.0033,.179
107231,"TX","sales",.0043,.072
107234,"MA","sales",.0068,.05
107250,"TX","engineer",.0117,.03
107266,"MA","engineer",.0031,.235
107267,"TX","engineer",.0072,.052
107271,"MA","sales",.0047,.118
107273,"TX","engineer",.0026,.086
107290,"MA","sales",.0072,.182
107307,"MA","engineer",.003,.24
107310,"MA","engineer",.0047,.063
107343,"MA","sales",.0029,.156
107359,"TX","engineer",.0035,.078
107363,"MA","sales",.0034,.044
107377,"TX","sales",.0036,.078
107382,"TX","engineer",.0087,.043
107385,"MA","engineer",.0043,.069
107397,"TX","engineer",.0032,.081
107403,"TX","sales",.0124,.027
107410,"MA","engineer",.006,.071
107427,"TX","engineer",.0058,.061
107430,"MA","engineer",.0087,.292
107431,"TX","engineer",.0023,.089
107433,"MA","sales",.0018,.051
107435,"TX","engineer",.0031,.081
107451,"TX","engineer",.0138,.022
107463,"MA","engineer",.0038,.123
107472,"MA","engineer",.0068,.061
107473,"MA","sales",.0042,.092
107484,"MA","engineer",.0023,.088
107528,"MA","sales",.0054,.228
107531,"MA","sales",.0081,.292
107584,"MA","sales",.0079,.258
107615,"TX","sales",.0157,.017
107620,"TX","sales",.0029,.083
107640,"MA","engineer",.0073,.19
107649,"MA","sales",.0067,.158
107654,"TX","engineer",.0022,.089
107665,"MA","sales",.0058,.132
107672,"MA","sales",.0055,.017
107675,"MA","sales",.004,.036
107678,"MA","engineer",.0083,.249
107696,"MA","sales",.0056,.129
107706,"MA","engineer",.0061,.076
107711,"MA","engineer",.0073,.181
107719,"MA","engineer",.0023,.136
107721,"MA","engineer",.0071,.279
107737,"MA","sales",.0062,.081
107760,"MA","sales",.0037,.036
107765,"TX","engineer",.0082,.046
107766,"MA","engineer",.0037,.06
107770,"MA","sales",.0014,.09
107785,"MA","sales",.0083,.256
107822,"MA","sales",.0045,.109
107825,"MA","engineer",.0058,.053
107827,"MA","sales",.0053,.112
107854,"MA","sales",.0021,.024
107858,"MA","sales",.003,.035
107872,"MA","sales",.0044,.052
107874,"TX","sales",.0076,.049
107898,"MA","sales",.0027,.177
107906,"TX","engineer",.0064,.057
107924,"TX","engineer",.0149,.019
107941,"TX","engineer",.005,.067
107945,"MA","engineer",.0062,.247
107957,"TX","engineer",.0044,.071
107963,"MA","engineer",.0056,.193
107969,"TX","engineer",.0043,.072
107984,"MA","engineer",.0032,.045
107985,"TX","sales",.0081,.047
107987,"MA","engineer",.0081,.229
108005,"TX","engineer",.006,.059
108017,"MA","sales",.0062,.23
108022,"TX","engineer",.0099,.037
108023,"TX","engineer",.014,.022
108032,"MA","sales",.0051,.181
108057,"MA","sales",.0008,.102
108061,"MA","sales",.0043,.013
108063,"MA","engineer",.0033,.069
108077,"MA","engineer",.0046,.231
108079,"MA","sales",.0059,.205
108080,"MA","engineer",.0066,.034
108082,"MA","sales",.0008,.034
108099,"TX","engineer",.012,.029
108109,"TX","engineer",.0038,.075
108114,"MA","engineer",.0012,.063
108125,"MA","sales",.005,.237
108131,"MA","engineer",.0016,.026
108138,"MA","engineer",.0023,.129
108145,"MA","engineer",.0035,.222
108147,"TX","sales",.0055,.063
108174,"MA","sales",.0046,.11
108186,"MA","engineer",.0069,.075
108187,"TX","engineer",.0173,.013
108191,"MA","sales",.0057,.107
108203,"TX","sales",.0139,.022
108205,"MA","engineer",.0064,.228
108218,"MA","sales",.0043,.103
108221,"MA","engineer",.0015,.142
108240,"MA","engineer",.0103,.3
108241,"TX","engineer",.0127,.026
108254,"MA","sales",.0005,.045
108255,"TX","sales",.0056,.062
108270,"TX","engineer",.0092,.041
108281,"TX","engineer",.006,.06
108297,"TX","engineer",.0103,.035
108363,"MA","engineer",.0084,.304
108376,"MA","sales",.0035,.139
108377,"MA","engineer",.006,.084
108398,"MA","sales",.0034,.139
108418,"MA","sales",.005,.298
108436,"MA","sales",.0021,.202
108437,"MA","sales",.0067,.059
108442,"MA","sales",.0052,.302
108457,"MA","sales",.0015,.072
108461,"TX","engineer",.0049,.067
108480,"TX","sales",.0092,.041
108483,"TX","engineer",.0152,.018
108486,"MA","sales",.0012,.083
108515,"MA","sales",.006,.146
108530,"MA","sales",.0009,.013
108534,"MA","sales",.0076,.174
108551,"MA","engineer",.005,.06
108569,"MA","engineer",.0047,.068
108573,"TX","engineer",.0077,.049
108574,"MA","engineer",.0024,.089
108583,"TX","engineer",.0102,.036
108613,"MA","sales",.0059,.092
108640,"MA","engineer",.003,.047
108644,"MA","sales",.0071,.242
108672,"MA","engineer",.0051,.211
108682,"MA","engineer",.0061,.111
108711,"TX","engineer",.0137,.023
108767,"TX","engineer",.0015,.096
108768,"MA","engineer",.0044,.152
108776,"MA","sales",.0029,.081
108777,"TX","sales",.0006,.106
108794,"TX","engineer",.0043,.072
108797,"MA","engineer",.0071,.118
108820,"MA","engineer",.0014,.089
108828,"TX","engineer",.0147,.02
108830,"TX","engineer",.0115,.03
108857,"MA","engineer",.007,.211
108869,"TX","sales",.0017,.095
108871,"MA","engineer",.0065,.11
108882,"MA","sales",.0068,.026
108898,"MA","sales",.0038,.189
108912,"MA","engineer",.0074,.136
108917,"TX","engineer",.0073,.051
108921,"MA","sales",.0036,.253
108924,"TX","engineer",.007,.053
108926,"TX","engineer",.0061,.059
108928,"MA","sales",.0026,.178
108948,"TX","engineer",.0078,.048
108954,"MA","engineer",.0049,.175
108966,"MA","sales",.0037,.241
108972,"MA","engineer",.0056,.062
109007,"MA","engineer",.0027,.141
109012,"TX","engineer",.0016,.096
109072,"MA","sales",.0008,.064
109112,"MA","engineer",.0021,.172
109117,"MA","engineer",.0068,.227
109144,"MA","engineer",.0042,.027
109150,"MA","sales",.0035,.252
109152,"TX","sales",.0055,.063
109161,"TX","engineer",.0148,.019
